Source resource ID,_id,associatedMedia._id,associatedMedia.assetID,associatedMedia.category,associatedMedia.created,associatedMedia.creator,associatedMedia.identifier,associatedMedia.license,associatedMedia.mime,associatedMedia.modified,associatedMedia.rightsHolder,associatedMedia.title,associatedMedia.type,associatedMediaCount,basisOfRecord,catalogNumber,catalogueDescription,chronostratigraphy,class,collectionCode,continent,country,created,decimalLatitude,decimalLongitude,determinationNames,donorName,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,family,gbifID,gbifIssue,genus,higherClassification,higherGeography,identificationQualifier,institutionCode,kingdom,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lifeStage,locality,modified,occurrenceID,order,otherCatalogNumbers,phylum,recordedBy,samplingProtocol,scientificName,scientificNameAuthorship,sex,specificEpithet,stateProvince,subDepartment,verbatimLatitude,verbatimLongitude,year
05ff2255-c38a-40c9-b657-4ccb55ab2feb,2015760,,,,,,,,,,,,,,Specimen,PA EM 289,,"Quaternary, Holocene",,PAL,Europe,France,856396800000,46.200,5.500,Homo sapiens | Homo sapiens,M Code,Phanerozoic,Holocene,Cenozoic,Quaternary,,1056458619,GEODETIC_DATUM_ASSUMED_WGS84,,,Europe; France; Rhône-Alpes; Ain,,NHMUK,,Phanerozoic,Holocene,Cenozoic,Quaternary,,"La Genière, La Genière",1530800332000,577241c1-20c8-4850-ad52-316efc6209cc,,NHMUK:ecatalogue:2015760,,,,,,,,Rhône-Alpes,Anthropology,46 12 00 N,005 30 00 E,
05ff2255-c38a-40c9-b657-4ccb55ab2feb,2845672,,,,,,,,,,,,,,Specimen,PA EM 4126,"Postcrania. Rib. Homo sapiens. Bruniquel Cave, France, Europe. Upper Palaeolithic. Magdalenian period.","Quaternary, Pleistocene",Mammalia,PAL,Europe,France,1383303363000,44.033,1.567,"Homo sapiens Linnaeus, 1758",F de Lastic,Phanerozoic,Pleistocene,Cenozoic,Quaternary,Hominidae,1944428267,GEODETIC_DATUM_ASSUMED_WGS84,Homo,Animalia; Chordata; Vertebrata; Mammalia; Primates; Haplorrhini; Simiiformes; Hominoidea; Hominidae,Europe; France; Midi-Pyrénées; Tarn-et-Garonne,,NHMUK,Animalia,Phanerozoic,Pleistocene,Cenozoic,Quaternary,,"Bruniquel les Forges, Aveyron valley, Bruniquel les Forges, Aveyron valley",1541507968000,ebfd6055-7bcb-4c3c-98ec-ea2942abb686,Primates,NHMUK:ecatalogue:2845672,Chordata,F de Lastic,Excavation,"Homo sapiens Linnaeus, 1758","Linnaeus, 1758",,sapiens,Midi-Pyrénées,Anthropology,44 02 00 N,001 34 00 E,1863
05ff2255-c38a-40c9-b657-4ccb55ab2feb,2844341,,,,,,,,,,,,,,Specimen,PA EM 4121,"Indet bone fragment. Homo sapiens. Bruniquel Cave, France, Europe. Upper Palaeolithic. Magdalenian period.","Quaternary, Pleistocene",Mammalia,PAL,Europe,France,1383236282000,44.033,1.567,"Homo sapiens Linnaeus, 1758",F de Lastic,Phanerozoic,Pleistocene,Cenozoic,Quaternary,Hominidae,1944428258,GEODETIC_DATUM_ASSUMED_WGS84,Homo,Animalia; Chordata; Vertebrata; Mammalia; Primates; Haplorrhini; Simiiformes; Hominoidea; Hominidae,Europe; France; Midi-Pyrénées; Tarn-et-Garonne,,NHMUK,Animalia,Phanerozoic,Pleistocene,Cenozoic,Quaternary,,"Bruniquel les Forges, Aveyron valley, Bruniquel les Forges, Aveyron valley",1541507967000,c5d2cb0f-3d50-4c83-8897-2e27eee04a4f,Primates,NHMUK:ecatalogue:2844341,Chordata,F de Lastic,Excavation,"Homo sapiens Linnaeus, 1758","Linnaeus, 1758",,sapiens,Midi-Pyrénées,Anthropology,44 02 00 N,001 34 00 E,1863
05ff2255-c38a-40c9-b657-4ccb55ab2feb,2844339,,,,,,,,,,,,,,Specimen,PA EM 4119,"Postcrania. Ribs. Homo sapiens. Bruniquel Cave, France, Europe. Upper Palaeolithic. Magdalenian period.","Quaternary, Pleistocene",Mammalia,PAL,Europe,France,1383235650000,44.033,1.567,"Homo sapiens Linnaeus, 1758",F de Lastic,Phanerozoic,Pleistocene,Cenozoic,Quaternary,Hominidae,1944428257,GEODETIC_DATUM_ASSUMED_WGS84,Homo,Animalia; Chordata; Vertebrata; Mammalia; Primates; Haplorrhini; Simiiformes; Hominoidea; Hominidae,Europe; France; Midi-Pyrénées; Tarn-et-Garonne,,NHMUK,Animalia,Phanerozoic,Pleistocene,Cenozoic,Quaternary,,"Bruniquel les Forges, Aveyron valley, Bruniquel les Forges, Aveyron valley",1541507967000,b827b57d-b61d-416f-8fc4-5d91514f796b,Primates,NHMUK:ecatalogue:2844339,Chordata,F de Lastic,Excavation,"Homo sapiens Linnaeus, 1758","Linnaeus, 1758",,sapiens,Midi-Pyrénées,Anthropology,44 02 00 N,001 34 00 E,1863
05ff2255-c38a-40c9-b657-4ccb55ab2feb,2840534,193260,cfa16d36cea01a2343587bb91212489e2c35ff48,Specimen,1382631239000,Gabrielle Delbarre,https://www.nhm.ac.uk/services/media-store/asset/cfa16d36cea01a2343587bb91212489e2c35ff48/contents/preview,http://creativecommons.org/licenses/by/4.0/,jpeg,1455543269000,"The Trustees of the Natural History Museum, London",NHM-UK_PA_EM 4107_1_M_1,StillImage,1,Specimen,PA EM 4107,"Hand. Distal phalange. Homo sapiens. Bruniquel Cave, France. Magdalenian period.","Quaternary, Pleistocene",Mammalia,PAL,Europe,France,1382092994000,44.033,1.567,"Homo sapiens Linnaeus, 1758",F de Lastic,Phanerozoic,Pleistocene,Cenozoic,Quaternary,Hominidae,1944428250,GEODETIC_DATUM_ASSUMED_WGS84,Homo,Animalia; Chordata; Vertebrata; Mammalia; Primates; Haplorrhini; Simiiformes; Hominoidea; Hominidae,Europe; France; Midi-Pyrénées; Tarn-et-Garonne,,NHMUK,Animalia,Phanerozoic,Pleistocene,Cenozoic,Quaternary,,"Bruniquel les Forges, Aveyron valley, Bruniquel les Forges, Aveyron valley",1541507966000,7f1997e2-8ad2-4b28-81a4-c1cc16536f2e,Primates,NHMUK:ecatalogue:2840534,Chordata,F de Lastic,Excavation,"Homo sapiens Linnaeus, 1758","Linnaeus, 1758",,sapiens,Midi-Pyrénées,Anthropology,44 02 00 N,001 34 00 E,1863
05ff2255-c38a-40c9-b657-4ccb55ab2feb,2840515,193205,cc6506d3a6e64ede4b4e28a3404e9deea0fa05b1,Specimen,1382627919000,Gabrielle Delbarre,https://www.nhm.ac.uk/services/media-store/asset/cc6506d3a6e64ede4b4e28a3404e9deea0fa05b1/contents/preview,http://creativecommons.org/licenses/by/4.0/,jpeg,1455543269000,"The Trustees of the Natural History Museum, London",NHM-UK_PA_EM 4102_1_M_1,StillImage,1,Specimen,PA EM 4102,"Humerus head. Homo sapiens. Bruniquel Cave, France. Magdalenian period.","Quaternary, Pleistocene",Mammalia,PAL,Europe,France,1382090867000,44.033,1.567,"Homo sapiens Linnaeus, 1758",F de Lastic,Phanerozoic,Pleistocene,Cenozoic,Quaternary,Hominidae,1944428240,GEODETIC_DATUM_ASSUMED_WGS84,Homo,Animalia; Chordata; Vertebrata; Mammalia; Primates; Haplorrhini; Simiiformes; Hominoidea; Hominidae,Europe; France; Midi-Pyrénées; Tarn-et-Garonne,,NHMUK,Animalia,Phanerozoic,Pleistocene,Cenozoic,Quaternary,,"Bruniquel les Forges, Aveyron valley, Bruniquel les Forges, Aveyron valley",1541507966000,a1146a27-d584-48ea-8bfc-44a714058b4c,Primates,NHMUK:ecatalogue:2840515,Chordata,F de Lastic,Excavation,"Homo sapiens Linnaeus, 1758","Linnaeus, 1758",,sapiens,Midi-Pyrénées,Anthropology,44 02 00 N,001 34 00 E,1863
05ff2255-c38a-40c9-b657-4ccb55ab2feb,2845791,,,,,,,,,,,,,,Specimen,PA EM 4132,"Postcrania. Rib. Homo sapiens. Bruniquel Cave, France, Europe. Upper Palaeolithic. Magdalenian period.","Quaternary, Pleistocene",Mammalia,PAL,Europe,France,1383303619000,44.033,1.567,"Homo sapiens Linnaeus, 1758",F de Lastic,Phanerozoic,Pleistocene,Cenozoic,Quaternary,Hominidae,1944428266,GEODETIC_DATUM_ASSUMED_WGS84,Homo,Animalia; Chordata; Vertebrata; Mammalia; Primates; Haplorrhini; Simiiformes; Hominoidea; Hominidae,Europe; France; Midi-Pyrénées; Tarn-et-Garonne,,NHMUK,Animalia,Phanerozoic,Pleistocene,Cenozoic,Quaternary,,"Bruniquel les Forges, Aveyron valley, Bruniquel les Forges, Aveyron valley",1541507968000,f9a404fb-6be3-4d2c-8736-af980b7405e5,Primates,NHMUK:ecatalogue:2845791,Chordata,F de Lastic,Excavation,"Homo sapiens Linnaeus, 1758","Linnaeus, 1758",,sapiens,Midi-Pyrénées,Anthropology,44 02 00 N,001 34 00 E,1863
05ff2255-c38a-40c9-b657-4ccb55ab2feb,2845756,,,,,,,,,,,,,,Specimen,PA EM 4130,"Postcrania. Rib. Homo sapiens. Bruniquel Cave, France, Europe. Upper Palaeolithic. Magdalenian period.","Quaternary, Pleistocene",Mammalia,PAL,Europe,France,1383303529000,44.033,1.567,"Homo sapiens Linnaeus, 1758",F de Lastic,Phanerozoic,Pleistocene,Cenozoic,Quaternary,Hominidae,1944428265,GEODETIC_DATUM_ASSUMED_WGS84,Homo,Animalia; Chordata; Vertebrata; Mammalia; Primates; Haplorrhini; Simiiformes; Hominoidea; Hominidae,Europe; France; Midi-Pyrénées; Tarn-et-Garonne,,NHMUK,Animalia,Phanerozoic,Pleistocene,Cenozoic,Quaternary,,"Bruniquel les Forges, Aveyron valley, Bruniquel les Forges, Aveyron valley",1541507968000,0bea6582-438e-469c-8caf-4ec47644bab1,Primates,NHMUK:ecatalogue:2845756,Chordata,F de Lastic,Excavation,"Homo sapiens Linnaeus, 1758","Linnaeus, 1758",,sapiens,Midi-Pyrénées,Anthropology,44 02 00 N,001 34 00 E,1863
05ff2255-c38a-40c9-b657-4ccb55ab2feb,2014959,,,,,,,,,,,,,,Specimen,PA EM 238,,"Quaternary, Pleistocene",,PAL,Europe,France,855100800000,44.933,1.017,Homo sapiens | Homo sapiens,Department of Zoology,Phanerozoic,Pleistocene,Cenozoic,Quaternary,,1055339370,GEODETIC_DATUM_ASSUMED_WGS84,,,Europe; France; Aquitaine; Dordogne,,NHMUK,,Phanerozoic,Pleistocene,Cenozoic,Quaternary,,"Les Eyzies de Tayac, Rock-shelter Cro-Magnon",1530800351000,c225815d-9b7b-4a85-8aad-e371fbe69482,,NHMUK:ecatalogue:2014959,,,,,,,,Aquitaine,Anthropology,44 56 00 N,001 01 00 E,
05ff2255-c38a-40c9-b657-4ccb55ab2feb,2015640,,,,,,,,,,,,,,Specimen,PA EM 240,,"Quaternary, Pleistocene",,PAL,Europe,France,855100800000,44.933,1.017,Homo sapiens | Homo sapiens,Department of Zoology,Phanerozoic,Pleistocene,Cenozoic,Quaternary,,1055676820,GEODETIC_DATUM_ASSUMED_WGS84,,,Europe; France; Aquitaine; Dordogne,,NHMUK,,Phanerozoic,Pleistocene,Cenozoic,Quaternary,,"Les Eyzies de Tayac, Rock-shelter Cro-Magnon",1530800351000,21307d0c-14a5-4570-8af9-2927305604de,,NHMUK:ecatalogue:2015640,,,,,,,,Aquitaine,Anthropology,44 56 00 N,001 01 00 E,
